종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,005930,70200,상승,+2.03%,10903378,766772,4155586
SK하이닉스,000660,262500,상승,+1.55%,1918178,491556,1911006
LG에너지솔루션,373220,388500,상승,+1.17%,128357,49556,909090
삼성바이오로직스,207940,1026000,하락,-0.48%,25872,26538,730245
한화에어로스페이스,012450,929000,하락,-0.75%,81403,75984,479024
KB금융,105560,114500,하락,-0.95%,421283,48157,436774
현대차,005380,212500,상승,+0.95%,263629,56082,435110
HD현대중공업,329180,479500,상승,+2.79%,197806,95225,425667
두산에너빌리티,034020,66300,보합,0.00%,4580981,306275,424692
기아,000270,101800,보합,0.00%,292081,29883,404831
